================================================================================
PIM Simulation Log - 2025-11-18 07:32:01
================================================================================


================================================================================
Simulation Started at 2025-11-18 07:32:01.992
================================================================================

[PIM Cache] Hit for wo_proj (dim=4096, heads=32, seq=1728)
[PIM Cache] Hit for wo_proj (dim=4096, heads=32, seq=1728)
[PIM Cache] Hit for wo_proj (dim=4096, heads=32, seq=1728)
[PIM Cache] Hit for residual (dim=4096, heads=32, seq=1728)
[PIM Cache] Hit for residual (dim=4096, heads=32, seq=1728)
[PIM Cache] Hit for rmsnorm (dim=4096, heads=32, seq=1728)
[PIM Cache] Hit for rmsnorm (dim=4096, heads=32, seq=1728)
[PIM Cache] Hit for rmsnorm (dim=4096, heads=32, seq=1728)
[PIM Cache] Hit for ffn_gate (dim=4096, heads=32, seq=1728)
[PIM Cache] Hit for ffn_gate (dim=4096, heads=32, seq=1728)
[PIM Cache] Hit for ffn_gate (dim=4096, heads=32, seq=1728)
[PIM Cache] Hit for ffn_up (dim=4096, heads=32, seq=1728)
[PIM Cache] Hit for ffn_up (dim=4096, heads=32, seq=1728)
[PIM Cache] Hit for ffn_up (dim=4096, heads=32, seq=1728)
[PIM Cache] Hit for silu (dim=4096, heads=32, seq=1728)
[PIM Cache] Hit for silu (dim=4096, heads=32, seq=1728)
[PIM Cache] Hit for ffn_down (dim=4096, heads=32, seq=1728)
[PIM Cache] Hit for ffn_down (dim=4096, heads=32, seq=1728)
[PIM Cache] Hit for ffn_down (dim=4096, heads=32, seq=1728)
[PIM Cache] Hit for residual (dim=4096, heads=32, seq=1728)
[PIM Cache] Hit for residual (dim=4096, heads=32, seq=1728)
[PIM Cache] Hit for rmsnorm (dim=4096, heads=32, seq=1744)
[PIM Cache] Hit for rmsnorm (dim=4096, heads=32, seq=1744)
[PIM Cache] Hit for rmsnorm (dim=4096, heads=32, seq=1744)
[PIM Cache] Hit for q_proj (dim=4096, heads=32, seq=1744)
[PIM Cache] Hit for q_proj (dim=4096, heads=32, seq=1744)
[PIM Cache] Hit for q_proj (dim=4096, heads=32, seq=1744)
[PIM Cache] Hit for k_proj (dim=4096, heads=32, seq=1744)
[PIM Cache] Hit for k_proj (dim=4096, heads=32, seq=1744)
[PIM Cache] Hit for k_proj (dim=4096, heads=32, seq=1744)
[PIM Cache] Hit for v_proj (dim=4096, heads=32, seq=1744)
[PIM Cache] Hit for v_proj (dim=4096, heads=32, seq=1744)
[PIM Cache] Hit for v_proj (dim=4096, heads=32, seq=1744)
[PIM Cache] Hit for score (dim=4096, heads=32, seq=1744)
[PIM Cache] Hit for score (dim=4096, heads=32, seq=1744)
[PIM Cache] Hit for score (dim=4096, heads=32, seq=1744)
[PIM Cache] Hit for softmax (dim=4096, heads=32, seq=1744)
[PIM Cache] Hit for softmax (dim=4096, heads=32, seq=1744)
[PIM Cache] Hit for softmax (dim=4096, heads=32, seq=1744)
[PIM Cache] Hit for output (dim=4096, heads=32, seq=1744)
[PIM Cache] Hit for output (dim=4096, heads=32, seq=1744)
[PIM Cache] Hit for output (dim=4096, heads=32, seq=1744)
[PIM Cache] Hit for wo_proj (dim=4096, heads=32, seq=1744)
[PIM Cache] Hit for wo_proj (dim=4096, heads=32, seq=1744)
[PIM Cache] Hit for wo_proj (dim=4096, heads=32, seq=1744)
[PIM Cache] Hit for residual (dim=4096, heads=32, seq=1744)
[PIM Cache] Hit for residual (dim=4096, heads=32, seq=1744)
[PIM Cache] Hit for rmsnorm (dim=4096, heads=32, seq=1744)
[PIM Cache] Hit for rmsnorm (dim=4096, heads=32, seq=1744)
[PIM Cache] Hit for rmsnorm (dim=4096, heads=32, seq=1744)
[PIM Cache] Hit for ffn_up (dim=4096, heads=32, seq=1744)
[PIM Cache] Hit for ffn_up (dim=4096, heads=32, seq=1744)
[PIM Cache] Hit for ffn_up (dim=4096, heads=32, seq=1744)
[PIM Cache] Hit for ffn_gate (dim=4096, heads=32, seq=1744)
[PIM Cache] Hit for ffn_gate (dim=4096, heads=32, seq=1744)
[PIM Cache] Hit for ffn_gate (dim=4096, heads=32, seq=1744)
[PIM Cache] Hit for silu (dim=4096, heads=32, seq=1744)
[PIM Cache] Hit for silu (dim=4096, heads=32, seq=1744)
[PIM Cache] Hit for ffn_down (dim=4096, heads=32, seq=1744)
[PIM Cache] Hit for ffn_down (dim=4096, heads=32, seq=1744)
[PIM Cache] Hit for ffn_down (dim=4096, heads=32, seq=1744)
[PIM Cache] Hit for residual (dim=4096, heads=32, seq=1744)
[PIM Cache] Hit for residual (dim=4096, heads=32, seq=1744)
[PIM Cache] Hit for rmsnorm (dim=4096, heads=32, seq=1744)
[PIM Cache] Hit for rmsnorm (dim=4096, heads=32, seq=1744)
[PIM Cache] Hit for rmsnorm (dim=4096, heads=32, seq=1744)
[PIM Cache] Hit for q_proj (dim=4096, heads=32, seq=1744)
[PIM Cache] Hit for q_proj (dim=4096, heads=32, seq=1744)
[PIM Cache] Hit for q_proj (dim=4096, heads=32, seq=1744)
[PIM Cache] Hit for k_proj (dim=4096, heads=32, seq=1744)
[PIM Cache] Hit for k_proj (dim=4096, heads=32, seq=1744)
[PIM Cache] Hit for k_proj (dim=4096, heads=32, seq=1744)
[PIM Cache] Hit for v_proj (dim=4096, heads=32, seq=1744)
[PIM Cache] Hit for v_proj (dim=4096, heads=32, seq=1744)
[PIM Cache] Hit for v_proj (dim=4096, heads=32, seq=1744)
[PIM Cache] Hit for score (dim=4096, heads=32, seq=1744)
[PIM Cache] Hit for score (dim=4096, heads=32, seq=1744)
[PIM Cache] Hit for score (dim=4096, heads=32, seq=1744)
[PIM Cache] Hit for softmax (dim=4096, heads=32, seq=1744)
[PIM Cache] Hit for softmax (dim=4096, heads=32, seq=1744)
[PIM Cache] Hit for softmax (dim=4096, heads=32, seq=1744)
[PIM Cache] Hit for output (dim=4096, heads=32, seq=1744)
[PIM Cache] Hit for output (dim=4096, heads=32, seq=1744)
[PIM Cache] Hit for output (dim=4096, heads=32, seq=1744)
[PIM Cache] Hit for wo_proj (dim=4096, heads=32, seq=1744)
[PIM Cache] Hit for wo_proj (dim=4096, heads=32, seq=1744)
[PIM Cache] Hit for wo_proj (dim=4096, heads=32, seq=1744)
[PIM Cache] Hit for residual (dim=4096, heads=32, seq=1744)
[PIM Cache] Hit for residual (dim=4096, heads=32, seq=1744)
[PIM Cache] Hit for rmsnorm (dim=4096, heads=32, seq=1744)
[PIM Cache] Hit for rmsnorm (dim=4096, heads=32, seq=1744)
[PIM Cache] Hit for rmsnorm (dim=4096, heads=32, seq=1744)
[PIM Cache] Hit for ffn_gate (dim=4096, heads=32, seq=1744)
[PIM Cache] Hit for ffn_gate (dim=4096, heads=32, seq=1744)
[PIM Cache] Hit for ffn_gate (dim=4096, heads=32, seq=1744)
[PIM Cache] Hit for ffn_up (dim=4096, heads=32, seq=1744)
[PIM Cache] Hit for ffn_up (dim=4096, heads=32, seq=1744)
[PIM Cache] Hit for ffn_up (dim=4096, heads=32, seq=1744)
[PIM Cache] Hit for silu (dim=4096, heads=32, seq=1744)
[PIM Cache] Hit for silu (dim=4096, heads=32, seq=1744)
[PIM Cache] Hit for ffn_down (dim=4096, heads=32, seq=1744)
[PIM Cache] Hit for ffn_down (dim=4096, heads=32, seq=1744)
[PIM Cache] Hit for ffn_down (dim=4096, heads=32, seq=1744)
[PIM Cache] Hit for residual (dim=4096, heads=32, seq=1744)
[PIM Cache] Hit for residual (dim=4096, heads=32, seq=1744)
[PIM Cache] Hit for rmsnorm (dim=4096, heads=32, seq=1760)
[PIM Cache] Hit for rmsnorm (dim=4096, heads=32, seq=1760)
[PIM Cache] Hit for rmsnorm (dim=4096, heads=32, seq=1760)
[PIM Cache] Hit for q_proj (dim=4096, heads=32, seq=1760)
[PIM Cache] Hit for q_proj (dim=4096, heads=32, seq=1760)
[PIM Cache] Hit for q_proj (dim=4096, heads=32, seq=1760)
[PIM Cache] Hit for k_proj (dim=4096, heads=32, seq=1760)
[PIM Cache] Hit for k_proj (dim=4096, heads=32, seq=1760)
[PIM Cache] Hit for k_proj (dim=4096, heads=32, seq=1760)
[PIM Cache] Hit for v_proj (dim=4096, heads=32, seq=1760)
[PIM Cache] Hit for v_proj (dim=4096, heads=32, seq=1760)
[PIM Cache] Hit for v_proj (dim=4096, heads=32, seq=1760)
[PIM Cache] Hit for score (dim=4096, heads=32, seq=1760)
[PIM Cache] Hit for score (dim=4096, heads=32, seq=1760)
[PIM Cache] Hit for softmax (dim=4096, heads=32, seq=1760)
[PIM Cache] Hit for softmax (dim=4096, heads=32, seq=1760)
[PIM Cache] Hit for softmax (dim=4096, heads=32, seq=1760)
[PIM Cache] Hit for output (dim=4096, heads=32, seq=1760)
[PIM Cache] Hit for output (dim=4096, heads=32, seq=1760)
[PIM Cache] Hit for output (dim=4096, heads=32, seq=1760)
[PIM Cache] Hit for wo_proj (dim=4096, heads=32, seq=1760)
[PIM Cache] Hit for wo_proj (dim=4096, heads=32, seq=1760)
[PIM Cache] Hit for wo_proj (dim=4096, heads=32, seq=1760)
[PIM Cache] Hit for residual (dim=4096, heads=32, seq=1760)
[PIM Cache] Hit for residual (dim=4096, heads=32, seq=1760)
[PIM Cache] Hit for rmsnorm (dim=4096, heads=32, seq=1760)
[PIM Cache] Hit for rmsnorm (dim=4096, heads=32, seq=1760)
[PIM Cache] Hit for ffn_up (dim=4096, heads=32, seq=1760)
[PIM Cache] Hit for ffn_up (dim=4096, heads=32, seq=1760)
[PIM Cache] Hit for ffn_up (dim=4096, heads=32, seq=1760)
[PIM Cache] Hit for ffn_gate (dim=4096, heads=32, seq=1760)
[PIM Cache] Hit for ffn_gate (dim=4096, heads=32, seq=1760)
[PIM Cache] Hit for ffn_gate (dim=4096, heads=32, seq=1760)
[PIM Cache] Hit for silu (dim=4096, heads=32, seq=1760)
[PIM Cache] Hit for silu (dim=4096, heads=32, seq=1760)
[PIM Cache] Hit for ffn_down (dim=4096, heads=32, seq=1760)
[PIM Cache] Hit for ffn_down (dim=4096, heads=32, seq=1760)
[PIM Cache] Hit for ffn_down (dim=4096, heads=32, seq=1760)
[PIM Cache] Hit for residual (dim=4096, heads=32, seq=1760)
[PIM Cache] Hit for residual (dim=4096, heads=32, seq=1760)
[PIM Cache] Hit for rmsnorm (dim=4096, heads=32, seq=1760)
[PIM Cache] Hit for rmsnorm (dim=4096, heads=32, seq=1760)
[PIM Cache] Hit for rmsnorm (dim=4096, heads=32, seq=1760)
[PIM Cache] Hit for q_proj (dim=4096, heads=32, seq=1760)
[PIM Cache] Hit for q_proj (dim=4096, heads=32, seq=1760)
[PIM Cache] Hit for q_proj (dim=4096, heads=32, seq=1760)
[PIM Cache] Hit for k_proj (dim=4096, heads=32, seq=1760)
[PIM Cache] Hit for k_proj (dim=4096, heads=32, seq=1760)
[PIM Cache] Hit for k_proj (dim=4096, heads=32, seq=1760)
[PIM Cache] Hit for v_proj (dim=4096, heads=32, seq=1760)
[PIM Cache] Hit for v_proj (dim=4096, heads=32, seq=1760)
[PIM Cache] Hit for v_proj (dim=4096, heads=32, seq=1760)
[PIM Cache] Hit for score (dim=4096, heads=32, seq=1760)
[PIM Cache] Hit for score (dim=4096, heads=32, seq=1760)
[PIM Cache] Hit for score (dim=4096, heads=32, seq=1760)
[PIM Cache] Hit for softmax (dim=4096, heads=32, seq=1760)
[PIM Cache] Hit for softmax (dim=4096, heads=32, seq=1760)
[PIM Cache] Hit for softmax (dim=4096, heads=32, seq=1760)
[PIM Cache] Hit for output (dim=4096, heads=32, seq=1760)
[PIM Cache] Hit for output (dim=4096, heads=32, seq=1760)
[PIM Cache] Hit for output (dim=4096, heads=32, seq=1760)
[PIM Cache] Hit for wo_proj (dim=4096, heads=32, seq=1760)
[PIM Cache] Hit for wo_proj (dim=4096, heads=32, seq=1760)
[PIM Cache] Hit for wo_proj (dim=4096, heads=32, seq=1760)
[PIM Cache] Hit for residual (dim=4096, heads=32, seq=1760)
[PIM Cache] Hit for residual (dim=4096, heads=32, seq=1760)
[PIM Cache] Hit for rmsnorm (dim=4096, heads=32, seq=1760)
[PIM Cache] Hit for rmsnorm (dim=4096, heads=32, seq=1760)
[PIM Cache] Hit for rmsnorm (dim=4096, heads=32, seq=1760)
[PIM Cache] Hit for ffn_gate (dim=4096, heads=32, seq=1760)
[PIM Cache] Hit for ffn_gate (dim=4096, heads=32, seq=1760)
[PIM Cache] Hit for ffn_gate (dim=4096, heads=32, seq=1760)
[PIM Cache] Hit for ffn_up (dim=4096, heads=32, seq=1760)
[PIM Cache] Hit for ffn_up (dim=4096, heads=32, seq=1760)
[PIM Cache] Hit for ffn_up (dim=4096, heads=32, seq=1760)
[PIM Cache] Hit for silu (dim=4096, heads=32, seq=1760)
[PIM Cache] Hit for silu (dim=4096, heads=32, seq=1760)
[PIM Cache] Hit for ffn_down (dim=4096, heads=32, seq=1760)
[PIM Cache] Hit for ffn_down (dim=4096, heads=32, seq=1760)
[PIM Cache] Hit for ffn_down (dim=4096, heads=32, seq=1760)
[PIM Cache] Hit for residual (dim=4096, heads=32, seq=1760)
[PIM Cache] Hit for residual (dim=4096, heads=32, seq=1760)
[PIM Cache] Hit for rmsnorm (dim=4096, heads=32, seq=1776)
[PIM Cache] Hit for rmsnorm (dim=4096, heads=32, seq=1776)
[PIM Cache] Hit for rmsnorm (dim=4096, heads=32, seq=1776)
[PIM Cache] Hit for q_proj (dim=4096, heads=32, seq=1776)
[PIM Cache] Hit for q_proj (dim=4096, heads=32, seq=1776)
[PIM Cache] Hit for q_proj (dim=4096, heads=32, seq=1776)
[PIM Cache] Hit for k_proj (dim=4096, heads=32, seq=1776)
[PIM Cache] Hit for k_proj (dim=4096, heads=32, seq=1776)
[PIM Cache] Hit for k_proj (dim=4096, heads=32, seq=1776)
[PIM Cache] Hit for v_proj (dim=4096, heads=32, seq=1776)
[PIM Cache] Hit for v_proj (dim=4096, heads=32, seq=1776)
[PIM Cache] Hit for v_proj (dim=4096, heads=32, seq=1776)
[PIM Cache] Hit for score (dim=4096, heads=32, seq=1776)
[PIM Cache] Hit for score (dim=4096, heads=32, seq=1776)
[PIM Cache] Hit for score (dim=4096, heads=32, seq=1776)
[PIM Cache] Hit for softmax (dim=4096, heads=32, seq=1776)
[PIM Cache] Hit for softmax (dim=4096, heads=32, seq=1776)
[PIM Cache] Hit for softmax (dim=4096, heads=32, seq=1776)
[PIM Cache] Hit for output (dim=4096, heads=32, seq=1776)
[PIM Cache] Hit for output (dim=4096, heads=32, seq=1776)
[PIM Cache] Hit for output (dim=4096, heads=32, seq=1776)
[PIM Cache] Hit for wo_proj (dim=4096, heads=32, seq=1776)
[PIM Cache] Hit for wo_proj (dim=4096, heads=32, seq=1776)
[PIM Cache] Hit for wo_proj (dim=4096, heads=32, seq=1776)
[PIM Cache] Hit for residual (dim=4096, heads=32, seq=1776)
[PIM Cache] Hit for residual (dim=4096, heads=32, seq=1776)
[PIM Cache] Hit for rmsnorm (dim=4096, heads=32, seq=1776)
[PIM Cache] Hit for rmsnorm (dim=4096, heads=32, seq=1776)
[PIM Cache] Hit for rmsnorm (dim=4096, heads=32, seq=1776)
[PIM Cache] Hit for ffn_up (dim=4096, heads=32, seq=1776)
[PIM Cache] Hit for ffn_up (dim=4096, heads=32, seq=1776)
[PIM Cache] Hit for ffn_up (dim=4096, heads=32, seq=1776)
[PIM Cache] Hit for ffn_gate (dim=4096, heads=32, seq=1776)
[PIM Cache] Hit for ffn_gate (dim=4096, heads=32, seq=1776)
[PIM Cache] Hit for ffn_gate (dim=4096, heads=32, seq=1776)
[PIM Cache] Hit for silu (dim=4096, heads=32, seq=1776)
[PIM Cache] Hit for silu (dim=4096, heads=32, seq=1776)
[PIM Cache] Hit for ffn_down (dim=4096, heads=32, seq=1776)
[PIM Cache] Hit for ffn_down (dim=4096, heads=32, seq=1776)
[PIM Cache] Hit for ffn_down (dim=4096, heads=32, seq=1776)
[PIM Cache] Hit for residual (dim=4096, heads=32, seq=1776)
[PIM Cache] Hit for residual (dim=4096, heads=32, seq=1776)
[PIM Cache] Hit for rmsnorm (dim=4096, heads=32, seq=1776)
[PIM Cache] Hit for rmsnorm (dim=4096, heads=32, seq=1776)
[PIM Cache] Hit for rmsnorm (dim=4096, heads=32, seq=1776)
[PIM Cache] Hit for q_proj (dim=4096, heads=32, seq=1776)
[PIM Cache] Hit for q_proj (dim=4096, heads=32, seq=1776)
[PIM Cache] Hit for q_proj (dim=4096, heads=32, seq=1776)
[PIM Cache] Hit for k_proj (dim=4096, heads=32, seq=1776)
[PIM Cache] Hit for k_proj (dim=4096, heads=32, seq=1776)
[PIM Cache] Hit for k_proj (dim=4096, heads=32, seq=1776)
[PIM Cache] Hit for v_proj (dim=4096, heads=32, seq=1776)
[PIM Cache] Hit for v_proj (dim=4096, heads=32, seq=1776)
[PIM Cache] Hit for v_proj (dim=4096, heads=32, seq=1776)
[PIM Cache] Hit for score (dim=4096, heads=32, seq=1776)
[PIM Cache] Hit for score (dim=4096, heads=32, seq=1776)
[PIM Cache] Hit for score (dim=4096, heads=32, seq=1776)
[PIM Cache] Hit for softmax (dim=4096, heads=32, seq=1776)
[PIM Cache] Hit for softmax (dim=4096, heads=32, seq=1776)
[PIM Cache] Hit for softmax (dim=4096, heads=32, seq=1776)
[PIM Cache] Hit for output (dim=4096, heads=32, seq=1776)
[PIM Cache] Hit for output (dim=4096, heads=32, seq=1776)
[PIM Cache] Hit for output (dim=4096, heads=32, seq=1776)
[PIM Cache] Hit for wo_proj (dim=4096, heads=32, seq=1776)
[PIM Cache] Hit for wo_proj (dim=4096, heads=32, seq=1776)
[PIM Cache] Hit for wo_proj (dim=4096, heads=32, seq=1776)
[PIM Cache] Hit for residual (dim=4096, heads=32, seq=1776)
[PIM Cache] Hit for residual (dim=4096, heads=32, seq=1776)
[PIM Cache] Hit for rmsnorm (dim=4096, heads=32, seq=1776)
[PIM Cache] Hit for rmsnorm (dim=4096, heads=32, seq=1776)
[PIM Cache] Hit for rmsnorm (dim=4096, heads=32, seq=1776)
[PIM Cache] Hit for ffn_gate (dim=4096, heads=32, seq=1776)
[PIM Cache] Hit for ffn_gate (dim=4096, heads=32, seq=1776)
[PIM Cache] Hit for ffn_gate (dim=4096, heads=32, seq=1776)
[PIM Cache] Hit for ffn_up (dim=4096, heads=32, seq=1776)
[PIM Cache] Hit for ffn_up (dim=4096, heads=32, seq=1776)
[PIM Cache] Hit for ffn_up (dim=4096, heads=32, seq=1776)
[PIM Cache] Hit for silu (dim=4096, heads=32, seq=1776)
[PIM Cache] Hit for silu (dim=4096, heads=32, seq=1776)
[PIM Cache] Hit for ffn_down (dim=4096, heads=32, seq=1776)
[PIM Cache] Hit for ffn_down (dim=4096, heads=32, seq=1776)
[PIM Cache] Hit for ffn_down (dim=4096, heads=32, seq=1776)
[PIM Cache] Hit for residual (dim=4096, heads=32, seq=1776)
[PIM Cache] Hit for residual (dim=4096, heads=32, seq=1776)
[PIM Cache] Hit for rmsnorm (dim=4096, heads=32, seq=1792)
[PIM Cache] Hit for rmsnorm (dim=4096, heads=32, seq=1792)
[PIM Cache] Hit for rmsnorm (dim=4096, heads=32, seq=1792)
[PIM Cache] Hit for q_proj (dim=4096, heads=32, seq=1792)
[PIM Cache] Hit for q_proj (dim=4096, heads=32, seq=1792)
[PIM Cache] Hit for q_proj (dim=4096, heads=32, seq=1792)
[PIM Cache] Hit for k_proj (dim=4096, heads=32, seq=1792)
[PIM Cache] Hit for k_proj (dim=4096, heads=32, seq=1792)
[PIM Cache] Hit for k_proj (dim=4096, heads=32, seq=1792)
[PIM Cache] Hit for v_proj (dim=4096, heads=32, seq=1792)
[PIM Cache] Hit for v_proj (dim=4096, heads=32, seq=1792)
[PIM Cache] Hit for v_proj (dim=4096, heads=32, seq=1792)
[PIM Cache] Hit for score (dim=4096, heads=32, seq=1792)
[PIM Cache] Hit for score (dim=4096, heads=32, seq=1792)
[PIM Cache] Hit for score (dim=4096, heads=32, seq=1792)
[PIM Cache] Hit for softmax (dim=4096, heads=32, seq=1792)
[PIM Cache] Hit for softmax (dim=4096, heads=32, seq=1792)
[PIM Cache] Hit for softmax (dim=4096, heads=32, seq=1792)
[PIM Cache] Hit for output (dim=4096, heads=32, seq=1792)
[PIM Cache] Hit for output (dim=4096, heads=32, seq=1792)
[PIM Cache] Hit for output (dim=4096, heads=32, seq=1792)
[PIM Cache] Hit for wo_proj (dim=4096, heads=32, seq=1792)
[PIM Cache] Hit for wo_proj (dim=4096, heads=32, seq=1792)
[PIM Cache] Hit for wo_proj (dim=4096, heads=32, seq=1792)
[PIM Cache] Hit for residual (dim=4096, heads=32, seq=1792)
[PIM Cache] Hit for residual (dim=4096, heads=32, seq=1792)
[PIM Cache] Hit for rmsnorm (dim=4096, heads=32, seq=1792)
[PIM Cache] Hit for rmsnorm (dim=4096, heads=32, seq=1792)
[PIM Cache] Hit for rmsnorm (dim=4096, heads=32, seq=1792)
[PIM Cache] Hit for ffn_up (dim=4096, heads=32, seq=1792)
[PIM Cache] Hit for ffn_up (dim=4096, heads=32, seq=1792)
[PIM Cache] Hit for ffn_up (dim=4096, heads=32, seq=1792)
[PIM Cache] Hit for ffn_gate (dim=4096, heads=32, seq=1792)
[PIM Cache] Hit for ffn_gate (dim=4096, heads=32, seq=1792)
[PIM Cache] Hit for ffn_gate (dim=4096, heads=32, seq=1792)
[PIM Cache] Hit for silu (dim=4096, heads=32, seq=1792)
[PIM Cache] Hit for silu (dim=4096, heads=32, seq=1792)
[PIM Cache] Hit for ffn_down (dim=4096, heads=32, seq=1792)
[PIM Cache] Hit for ffn_down (dim=4096, heads=32, seq=1792)
[PIM Cache] Hit for ffn_down (dim=4096, heads=32, seq=1792)
[PIM Cache] Hit for residual (dim=4096, heads=32, seq=1792)
[PIM Cache] Hit for residual (dim=4096, heads=32, seq=1792)
[PIM Cache] Hit for rmsnorm (dim=4096, heads=32, seq=1792)
[PIM Cache] Hit for rmsnorm (dim=4096, heads=32, seq=1792)
[PIM Cache] Hit for rmsnorm (dim=4096, heads=32, seq=1792)
[PIM Cache] Hit for q_proj (dim=4096, heads=32, seq=1792)
[PIM Cache] Hit for q_proj (dim=4096, heads=32, seq=1792)
[PIM Cache] Hit for q_proj (dim=4096, heads=32, seq=1792)
[PIM Cache] Hit for k_proj (dim=4096, heads=32, seq=1792)
[PIM Cache] Hit for k_proj (dim=4096, heads=32, seq=1792)
[PIM Cache] Hit for k_proj (dim=4096, heads=32, seq=1792)
[PIM Cache] Hit for v_proj (dim=4096, heads=32, seq=1792)
[PIM Cache] Hit for v_proj (dim=4096, heads=32, seq=1792)
[PIM Cache] Hit for v_proj (dim=4096, heads=32, seq=1792)
[PIM Cache] Hit for score (dim=4096, heads=32, seq=1792)
[PIM Cache] Hit for score (dim=4096, heads=32, seq=1792)
[PIM Cache] Hit for softmax (dim=4096, heads=32, seq=1792)
[PIM Cache] Hit for softmax (dim=4096, heads=32, seq=1792)
[PIM Cache] Hit for softmax (dim=4096, heads=32, seq=1792)
[PIM Cache] Hit for output (dim=4096, heads=32, seq=1792)
[PIM Cache] Hit for output (dim=4096, heads=32, seq=1792)
[PIM Cache] Hit for output (dim=4096, heads=32, seq=1792)
[PIM Cache] Hit for wo_proj (dim=4096, heads=32, seq=1792)
[PIM Cache] Hit for wo_proj (dim=4096, heads=32, seq=1792)
[PIM Cache] Hit for wo_proj (dim=4096, heads=32, seq=1792)
[PIM Cache] Hit for residual (dim=4096, heads=32, seq=1792)
[PIM Cache] Hit for residual (dim=4096, heads=32, seq=1792)
[PIM Cache] Hit for rmsnorm (dim=4096, heads=32, seq=1792)
[PIM Cache] Hit for rmsnorm (dim=4096, heads=32, seq=1792)
[PIM Cache] Hit for ffn_gate (dim=4096, heads=32, seq=1792)
[PIM Cache] Hit for ffn_gate (dim=4096, heads=32, seq=1792)
[PIM Cache] Hit for ffn_gate (dim=4096, heads=32, seq=1792)
[PIM Cache] Hit for ffn_up (dim=4096, heads=32, seq=1792)
[PIM Cache] Hit for ffn_up (dim=4096, heads=32, seq=1792)
[PIM Cache] Hit for ffn_up (dim=4096, heads=32, seq=1792)
[PIM Cache] Hit for silu (dim=4096, heads=32, seq=1792)
[PIM Cache] Hit for silu (dim=4096, heads=32, seq=1792)
[PIM Cache] Hit for ffn_down (dim=4096, heads=32, seq=1792)
[PIM Cache] Hit for ffn_down (dim=4096, heads=32, seq=1792)
[PIM Cache] Hit for ffn_down (dim=4096, heads=32, seq=1792)
[PIM Cache] Hit for residual (dim=4096, heads=32, seq=1792)
[PIM Cache] Hit for residual (dim=4096, heads=32, seq=1792)
[PIM Cache] Hit for rmsnorm (dim=4096, heads=32, seq=1808)
[PIM Cache] Hit for rmsnorm (dim=4096, heads=32, seq=1808)
[PIM Cache] Hit for rmsnorm (dim=4096, heads=32, seq=1808)
[PIM Cache] Hit for q_proj (dim=4096, heads=32, seq=1808)
[PIM Cache] Hit for q_proj (dim=4096, heads=32, seq=1808)
[PIM Cache] Hit for q_proj (dim=4096, heads=32, seq=1808)
[PIM Cache] Hit for k_proj (dim=4096, heads=32, seq=1808)
[PIM Cache] Hit for k_proj (dim=4096, heads=32, seq=1808)
[PIM Cache] Hit for k_proj (dim=4096, heads=32, seq=1808)
[PIM Cache] Hit for v_proj (dim=4096, heads=32, seq=1808)
[PIM Cache] Hit for v_proj (dim=4096, heads=32, seq=1808)
[PIM Cache] Hit for v_proj (dim=4096, heads=32, seq=1808)
[PIM Cache] Hit for score (dim=4096, heads=32, seq=1808)
[PIM Cache] Hit for score (dim=4096, heads=32, seq=1808)
[PIM Cache] Hit for score (dim=4096, heads=32, seq=1808)
[PIM Cache] Hit for softmax (dim=4096, heads=32, seq=1808)
[PIM Cache] Hit for softmax (dim=4096, heads=32, seq=1808)
[PIM Cache] Hit for softmax (dim=4096, heads=32, seq=1808)
[PIM Cache] Hit for output (dim=4096, heads=32, seq=1808)
[PIM Cache] Hit for output (dim=4096, heads=32, seq=1808)
[PIM Cache] Hit for output (dim=4096, heads=32, seq=1808)
[PIM Cache] Hit for wo_proj (dim=4096, heads=32, seq=1808)
[PIM Cache] Hit for wo_proj (dim=4096, heads=32, seq=1808)
[PIM Cache] Hit for wo_proj (dim=4096, heads=32, seq=1808)
[PIM Cache] Hit for residual (dim=4096, heads=32, seq=1808)
[PIM Cache] Hit for residual (dim=4096, heads=32, seq=1808)
[PIM Cache] Hit for rmsnorm (dim=4096, heads=32, seq=1808)
[PIM Cache] Hit for rmsnorm (dim=4096, heads=32, seq=1808)
[PIM Cache] Hit for rmsnorm (dim=4096, heads=32, seq=1808)
[PIM Cache] Hit for ffn_up (dim=4096, heads=32, seq=1808)
[PIM Cache] Hit for ffn_up (dim=4096, heads=32, seq=1808)
[PIM Cache] Hit for ffn_up (dim=4096, heads=32, seq=1808)
[PIM Cache] Hit for ffn_gate (dim=4096, heads=32, seq=1808)
[PIM Cache] Hit for ffn_gate (dim=4096, heads=32, seq=1808)
[PIM Cache] Hit for ffn_gate (dim=4096, heads=32, seq=1808)
[PIM Cache] Hit for silu (dim=4096, heads=32, seq=1808)
[PIM Cache] Hit for silu (dim=4096, heads=32, seq=1808)
[PIM Cache] Hit for ffn_down (dim=4096, heads=32, seq=1808)
[PIM Cache] Hit for ffn_down (dim=4096, heads=32, seq=1808)
[PIM Cache] Hit for ffn_down (dim=4096, heads=32, seq=1808)
[PIM Cache] Hit for residual (dim=4096, heads=32, seq=1808)
[PIM Cache] Hit for residual (dim=4096, heads=32, seq=1808)
[PIM Cache] Hit for rmsnorm (dim=4096, heads=32, seq=1808)
[PIM Cache] Hit for rmsnorm (dim=4096, heads=32, seq=1808)
[PIM Cache] Hit for rmsnorm (dim=4096, heads=32, seq=1808)
[PIM Cache] Hit for q_proj (dim=4096, heads=32, seq=1808)
